,,,,,
,,流行性感冒,,,
,地区,发病数,死亡数,发病率,死亡率
,全    国,57557,4,4.4019,0.0003
,北京市,290,0,1.8855,
,天津市,1676,0,16.0690,
,河北省,7117,0,10.3883,
,山西省,721,0,2.1490,
,内蒙古,2291,0,9.6018,
,辽宁省,89,0,0.2109,
,吉林省,50,0,0.1841,
,黑龙江省,24,0,0.0628,
,上海市,77,0,0.4331,
,江苏省,4658,0,6.2314,
,浙江省,4298,1,8.7750,0.0020
,安徽省,1431,0,2.3382,
,福建省,614,0,1.7369,
,江西省,2039,1,4.7298,0.0023
,山东省,163,0,0.1763,
,河南省,2991,0,3.1887,
,湖北省,1565,0,2.7408,
,湖南省,894,0,1.4132,
,广东省,8070,0,8.7775,
,广    西,1999,1,4.2897,0.0021
,海南省,48,0,0.5797,
,重庆市,1161,0,4.1494,
,四川省,2054,0,2.5012,
,贵州省,1764,0,4.7292,
,云南省,4487,1,10.0833,0.0022
,西    藏,670,0,24.1820,
,陕西省,354,0,0.9516,
,甘肃省,4212,0,16.2374,
,青海省,177,0,3.2597,
,宁    夏,315,0,5.2852,
,新    疆,1258,0,6.2587,
,建设兵团,261,0,10.1566,
2018年9月10日 下午9:11,,,,,
